Llave no. 0 (0,1) Inverso: 1 
Llave no. 1 (0,2) Inverso: 48 
Llave no. 2 (0,3) Inverso: 32 
Llave no. 3 (0,4) Inverso: 24 
Llave no. 4 (0,6) Inverso: 16 
Llave no. 5 (0,7) Inverso: 68 
Llave no. 6 (0,8) Inverso: 12 
Llave no. 7 (0,9) Inverso: 74 
Llave no. 8 (0,11) Inverso: 26 
Llave no. 9 (0,12) Inverso: 8 
Llave no. 10 (0,13) Inverso: 22 
Llave no. 11 (0,14) Inverso: 34 
Llave no. 12 (0,16) Inverso: 6 
Llave no. 13 (0,17) Inverso: 28 
Llave no. 14 (0,18) Inverso: 37 
Llave no. 15 (0,21) Inverso: 86 
Llave no. 16 (0,22) Inverso: 13 
Llave no. 17 (0,23) Inverso: 62 
Llave no. 18 (0,24) Inverso: 4 
Llave no. 19 (0,26) Inverso: 11 
Llave no. 20 (0,27) Inverso: 88 
Llave no. 21 (0,28) Inverso: 17 
Llave no. 22 (0,29) Inverso: 59 
Llave no. 23 (0,31) Inverso: 46 
Llave no. 24 (0,32) Inverso: 3 
Llave no. 25 (0,33) Inverso: 72 
Llave no. 26 (0,34) Inverso: 14 
Llave no. 27 (0,36) Inverso: 66 
Llave no. 28 (0,37) Inverso: 18 
Llave no. 29 (0,39) Inverso: 39 
Llave no. 30 (0,41) Inverso: 51 
Llave no. 31 (0,42) Inverso: 43 
Llave no. 32 (0,43) Inverso: 42 
Llave no. 33 (0,44) Inverso: 54 
Llave no. 34 (0,46) Inverso: 31 
Llave no. 35 (0,47) Inverso: 93 
Llave no. 36 (0,48) Inverso: 2 
Llave no. 37 (0,49) Inverso: 64 
Llave no. 38 (0,51) Inverso: 41 
Llave no. 39 (0,52) Inverso: 53 
Llave no. 40 (0,53) Inverso: 52 
Llave no. 41 (0,54) Inverso: 44 
Llave no. 42 (0,56) Inverso: 56 
Llave no. 43 (0,58) Inverso: 77 
Llave no. 44 (0,59) Inverso: 29 
Llave no. 45 (0,61) Inverso: 81 
Llave no. 46 (0,62) Inverso: 23 
Llave no. 47 (0,63) Inverso: 92 
Llave no. 48 (0,64) Inverso: 49 
Llave no. 49 (0,66) Inverso: 36 
Llave no. 50 (0,67) Inverso: 78 
Llave no. 51 (0,68) Inverso: 7 
Llave no. 52 (0,69) Inverso: 84 
Llave no. 53 (0,71) Inverso: 91 
Llave no. 54 (0,72) Inverso: 33 
Llave no. 55 (0,73) Inverso: 82 
Llave no. 56 (0,74) Inverso: 9 
Llave no. 57 (0,77) Inverso: 58 
Llave no. 58 (0,78) Inverso: 67 
Llave no. 59 (0,79) Inverso: 89 
Llave no. 60 (0,81) Inverso: 61 
Llave no. 61 (0,82) Inverso: 73 
Llave no. 62 (0,83) Inverso: 87 
Llave no. 63 (0,84) Inverso: 69 
Llave no. 64 (0,86) Inverso: 21 
Llave no. 65 (0,87) Inverso: 83 
Llave no. 66 (0,88) Inverso: 27 
Llave no. 67 (0,89) Inverso: 79 
Llave no. 68 (0,91) Inverso: 71 
Llave no. 69 (0,92) Inverso: 63 
Llave no. 70 (0,93) Inverso: 47 
Llave no. 71 (0,94) Inverso: 94 
Llave no. 72 (1,1) Inverso: 1 
Llave no. 73 (1,2) Inverso: 48 
Llave no. 74 (1,3) Inverso: 32 
Llave no. 75 (1,4) Inverso: 24 
Llave no. 76 (1,6) Inverso: 16 
Llave no. 77 (1,7) Inverso: 68 
Llave no. 78 (1,8) Inverso: 12 
Llave no. 79 (1,9) Inverso: 74 
Llave no. 80 (1,11) Inverso: 26 
Llave no. 81 (1,12) Inverso: 8 
Llave no. 82 (1,13) Inverso: 22 
Llave no. 83 (1,14) Inverso: 34 
Llave no. 84 (1,16) Inverso: 6 
Llave no. 85 (1,17) Inverso: 28 
Llave no. 86 (1,18) Inverso: 37 
Llave no. 87 (1,21) Inverso: 86 
Llave no. 88 (1,22) Inverso: 13 
Llave no. 89 (1,23) Inverso: 62 
Llave no. 90 (1,24) Inverso: 4 
Llave no. 91 (1,26) Inverso: 11 
Llave no. 92 (1,27) Inverso: 88 
Llave no. 93 (1,28) Inverso: 17 
Llave no. 94 (1,29) Inverso: 59 
Llave no. 95 (1,31) Inverso: 46 
Llave no. 96 (1,32) Inverso: 3 
Llave no. 97 (1,33) Inverso: 72 
Llave no. 98 (1,34) Inverso: 14 
Llave no. 99 (1,36) Inverso: 66 
Llave no. 100 (1,37) Inverso: 18 
Llave no. 101 (1,39) Inverso: 39 
Llave no. 102 (1,41) Inverso: 51 
Llave no. 103 (1,42) Inverso: 43 
Llave no. 104 (1,43) Inverso: 42 
Llave no. 105 (1,44) Inverso: 54 
Llave no. 106 (1,46) Inverso: 31 
Llave no. 107 (1,47) Inverso: 93 
Llave no. 108 (1,48) Inverso: 2 
Llave no. 109 (1,49) Inverso: 64 
Llave no. 110 (1,51) Inverso: 41 
Llave no. 111 (1,52) Inverso: 53 
Llave no. 112 (1,53) Inverso: 52 
Llave no. 113 (1,54) Inverso: 44 
Llave no. 114 (1,56) Inverso: 56 
Llave no. 115 (1,58) Inverso: 77 
Llave no. 116 (1,59) Inverso: 29 
Llave no. 117 (1,61) Inverso: 81 
Llave no. 118 (1,62) Inverso: 23 
Llave no. 119 (1,63) Inverso: 92 
Llave no. 120 (1,64) Inverso: 49 
Llave no. 121 (1,66) Inverso: 36 
